用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
2074493111,老飘飘simon,m,03-10  双鱼座,北京,中国传媒大学,,2011-04-07,信用极好,17625,20000,1027,人在路上走 鸟在天上飞,https://m.weibo.cn/u/2074493111?,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/7ba640b7jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1754292998&ssig=5W%2FJUgNola",https://ww1.sinaimg.cn/orj480/7ba640b7jw1e8qgp5bmzyj2050050aa8.jpg,34,0,True,0,gettyimages签约摄影师 《摄影之友》特约摄影师 穷游摄影师,
6089612934,阿力同学Q,m,双子座,贵州,,,2016-12-28,信用较好,1642,28000,20,独有人间自由身，却非人间自由人。 每天演好一个情绪稳定的成年人。,https://m.weibo.cn/u/6089612934?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006E7ovsly8hrnc7unnsuj30e80e8aat.jpg?KID=imgbed,tva&Expires=1754293000&ssig=n6kSOoZt1F",https://wx3.sinaimg.cn/orj480/006E7ovsly8hrnc7unnsuj30e80e8aat.jpg,20,6,True,0,汽车博主 超话主持人（Guizhou车浪子超话）,
7343079389,盼你毅路安好,f,射手座,北京 昌平区,运城学院,,2019-11-25,信用较好,23302,793,366,做好自己，保持初心，长路漫漫，毅路同行，不离不弃！,https://m.weibo.cn/u/7343079389?,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/0080WOolly8gm280dvalsj30ro0ro766.jpg?KID=imgbed,tva&Expires=1754293002&ssig=bVkthYGJRF",https://wx1.sinaimg.cn/orj480/0080WOolly8gm280dvalsj30ro0ro766.jpg,0,6,True,0,超话粉丝钻咖（成毅超话）,
6490059673,西班牙火腿子,f,,上海,,,2018-02-18,信用较好,0,9,60,,https://m.weibo.cn/u/6490059673?,"https://tvax4.sinaimg.cn/crop.0.0.1242.1242.180/0075dCZPly8fokxyslng8j30yi0yiwha.jpg?KID=imgbed,tva&Expires=1754293004&ssig=da%2B5Nn9lei",https://wx4.sinaimg.cn/orj480/0075dCZPly8fokxyslng8j30yi0yiwha.jpg,17,1,False,-1,,
3592741942,hengyi4,m,1982-11-23  射手座,湖南 长沙,四川大学,,2013-08-07,信用较好,176,82,256,,https://m.weibo.cn/u/3592741942?,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/d624e436jw8f4pfshz1rwj2050050dft.jpg?KID=imgbed,tva&Expires=1754293006&ssig=jttWTTqixs",https://ww2.sinaimg.cn/orj480/d624e436jw8f4pfshz1rwj2050050dft.jpg,13,0,False,-1,,
2121737943,馒头_控,m,处女座,北京 海淀区,天津美术学院,家里蹲大学,2011-06-16,信用极好,18347,179000,707,图书管理员，业余描图选手,https://m.weibo.cn/u/2121737943?,"https://tvax2.sinaimg.cn/crop.0.0.440.440.180/7e7726d7ly8h52vn14yb8j20c80c874w.jpg?KID=imgbed,tva&Expires=1754293010&ssig=jD2G4EJ2g1",https://wx2.sinaimg.cn/orj480/7e7726d7ly8h52vn14yb8j20c80c874w.jpg,27,1,True,0,历史博主,
6215070793,无边光景凭尔去,m,,其他,,,2017-04-17,信用较好,231,85,205,,https://m.weibo.cn/u/6215070793?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006MBNPjly8hneosdzwgxj30u00u03z9.jpg?KID=imgbed,tva&Expires=1754293012&ssig=bn4HXBL7qy",https://wx4.sinaimg.cn/orj480/006MBNPjly8hneosdzwgxj30u00u03z9.jpg,6,0,False,-1,,
5604808669,EuphoriaKookie,f,处女座,海外,,JJK HIT,2015-05-09,信用极好,27350,1729,625,2019.04.25-♾️️ 只有柾国,https://m.weibo.cn/u/5604808669?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0067jcLPly8i3hdrvuz9ij30u00u0ab4.jpg?KID=imgbed,tva&Expires=1754293014&ssig=2j6wYL3HZx",https://wx4.sinaimg.cn/orj480/0067jcLPly8i3hdrvuz9ij30u00u0ab4.jpg,31,6,True,0,超话主持人（菇菇历险记超话）,
1650945670,王文献_儿童文学作家,f,2012-01-01  摩羯座,海外,南京大学,儿童文学作家,2009-12-16,信用较好,8528,2764,1375,合作请电邮：1876131945@qq.com   作品有：《外星小仓鼠》《你来自蔷薇星辰》《追寻失落的星》《追梦的翅膀》《恐龙大公司》等。,https://m.weibo.cn/u/1650945670?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/62676e86ly8ggm0h0yvtmj20u00u0ju8.jpg?KID=imgbed,tva&Expires=1754293016&ssig=JqjQCAyyOM",https://wx4.sinaimg.cn/orj480/62676e86ly8ggm0h0yvtmj20u00u0ju8.jpg,44,6,False,220,,
2439390494,幽默当红,m,,四川,,,2011-10-03,信用较好,10115,504000,249,一起看影视剧一起分享,https://m.weibo.cn/u/2439390494?,"https://tvax4.sinaimg.cn/crop.0.0.960.960.180/9166251ely8ht7089uv0vj20qo0qo0uz.jpg?KID=imgbed,tva&Expires=1754293018&ssig=isU6s8PTwl",https://wx4.sinaimg.cn/orj480/9166251ely8ht7089uv0vj20qo0qo0uz.jpg,1,6,True,0,电影博主,
6385517607,橘子烤鱼大王,m,,其他,,,2017-10-09,信用较好,43,39,478,,https://m.weibo.cn/u/6385517607?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006Y8YPtly8gjkj49pfm7j30ro0ro0y8.jpg?KID=imgbed,tva&Expires=1754293020&ssig=2Z3VK%2F%2FMdw",https://wx2.sinaimg.cn/orj480/006Y8YPtly8gjkj49pfm7j30ro0ro0y8.jpg,8,0,False,-1,,
2608275271,小辫儿蒸蒸,f,,其他,,,2012-01-29,信用较好,1767,220,157,嘿,https://m.weibo.cn/u/2608275271?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/9b771f47ly8hlm99ghvdnj20e80e8mxv.jpg?KID=imgbed,tva&Expires=1754293022&ssig=W3B%2B9DmY3L",https://wx4.sinaimg.cn/orj480/9b771f47ly8hlm99ghvdnj20e80e8mxv.jpg,33,3,False,-1,,
2043337502,杨梅红了,m,12-12  射手座,浙江 宁波,,待业,2011-04-02,信用较好,1126,269,249,,https://m.weibo.cn/u/2043337502?,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1754293023&ssig=gwR0a20KEx",https://ss1.sinaimg.cn/orj480/default_avatar_male_180&690,23,0,False,-1,,
6997139408,十二楼的竹子花雨黯,f,金牛座,四川 成都,,,2019-02-15,信用一般,859,34000,211,,https://m.weibo.cn/u/6997139408?,"https://tvax2.sinaimg.cn/crop.0.0.180.180.180/007DxhBely8g076tnz06wj30500500sp.jpg?KID=imgbed,tva&Expires=1754293025&ssig=eeTShA7atE",https://wx2.sinaimg.cn/orj480/007DxhBely8g076tnz06wj30500500sp.jpg,9,0,False,-1,,
2677615721,种草小君君,f,1988-05-21  双子座,福建 福州,,无,2012-03-23,信用极好,48830,43000,149,深挖👉各种好物优惠券 你意想不到的大差价！快和我一起省钱吧🤩,https://m.weibo.cn/u/2677615721?,"https://tvax2.sinaimg.cn/crop.0.0.664.664.180/9f992c69ly8gnkn3r9vqvj20ig0igweu.jpg?KID=imgbed,tva&Expires=1754293027&ssig=KQ9twW8q7m",https://wx2.sinaimg.cn/orj480/9f992c69ly8gnkn3r9vqvj20ig0igweu.jpg,24,6,True,0,头条文章作者,
5146961945,任六两,m,1987-06-09  双子座,浙江,,宁波品泽暖通工程有限公司,2014-05-20,信用较好,197,40,42,任六两：品泽暖通（宁波）,https://m.weibo.cn/u/5146961945?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/005Ck7Vfly8g997bikexzj30ro0roq4k.jpg?KID=imgbed,tva&Expires=1754293031&ssig=bruj6KrZZh",https://wx2.sinaimg.cn/orj480/005Ck7Vfly8g997bikexzj30ro0roq4k.jpg,4,5,False,-1,,
2021185515,大卫-zjb,m,,海外 新西兰,,,2011-03-12,信用较好,12550,1378,5032,我来充数，但不是滥竽,https://m.weibo.cn/u/2021185515?,"https://tva3.sinaimg.cn/crop.0.0.180.180.180/7878d7ebjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1754293033&ssig=Cjd20%2Bxn2%2F",https://ww3.sinaimg.cn/orj480/7878d7ebjw1e8qgp5bmzyj2050050aa8.jpg,26,1,False,-1,,
6898964646,片叶盏,f,金牛座,江苏,,,2018-12-24,信用较好,8629,1530,2687,,https://m.weibo.cn/u/6898964646?,"https://tvax4.sinaimg.cn/crop.0.0.400.400.180/007wTlRkly8haen7bogvej30b40b4dgb.jpg?KID=imgbed,tva&Expires=1754293035&ssig=fyyIiWdIld",https://wx4.sinaimg.cn/orj480/007wTlRkly8haen7bogvej30b40b4dgb.jpg,4,0,False,-1,,
5401663122,Michael_P_Toothman,m,09-27  天秤座,海外 美国,,"University of California, Riverside",2014-12-06,信用较好,813,15000,448,教育家 | 演讲家 | 作家 | 项目管理专业人士,https://m.weibo.cn/u/5401663122?,"https://tva1.sinaimg.cn/crop.31.88.432.432.180/005TyPkKjw1emzyyg4fh7j30de0k0n1j.jpg?KID=imgbed,tva&Expires=1754293037&ssig=R6jHEUzOKC",https://ww1.sinaimg.cn/orj480/005TyPkKjw1emzyyg4fh7j30de0k0n1j.jpg,41,6,True,0,"University of California, Riverside 讲师 校园博主",
5827997132,助人为乐的李寻欢,m,,香港 其他,,,2016-01-12,信用较好,328,25,161,,https://m.weibo.cn/u/5827997132?,"https://tvax2.sinaimg.cn/crop.0.0.664.664.180/006mpGhKly8fhxa0i89r3j30ig0igq3h.jpg?KID=imgbed,tva&Expires=1754293039&ssig=xBFigaZaLL",https://wx2.sinaimg.cn/orj480/006mpGhKly8fhxa0i89r3j30ig0igq3h.jpg,9,0,False,-1,,
2049300241,龙泽淞沪_Popeye,m,05-14  金牛座,黑龙江,哈尔滨工业大学,,2011-05-24,信用较好,670,300,1103,我是吊丝，我怕谁。,https://m.weibo.cn/u/2049300241?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/7a25d711ly8fewuie94gxj20ro0rp0uw.jpg?KID=imgbed,tva&Expires=1754293041&ssig=wXr1EecLD4",https://wx2.sinaimg.cn/orj480/7a25d711ly8fewuie94gxj20ro0rp0uw.jpg,24,0,False,-1,,
